Strain,Parent_strain,organism,Treatment,Light,Time,rep1,rep2,rep3,OriSource
MIT9313,MIT9313,P,Axenic,Low,0,35.00,35.00,35.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,1,212.00,106.00,177.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,3,283.00,212.00,424.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,6,283.00,106.00,0.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,8,848.00,565.00,495.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,10,918.00,742.00,812.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,12,1020.00,707.00,954.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,14,2720.00,2050.00,1840.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,20,10100.00,11300.00,8230.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,32,242000.00,419000.00,244000.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,35,779000.00,1710000.00,806000.00,Morris_2011_5
MIT9313,MIT9313,P,Axenic,Low,39,6160000.00,16200000.00,7430000.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,0,35.00,35.00,35.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,1,141.00,141.00,35.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,3,177.00,283.00,283.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,6,35.00,35.00,0.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,8,318.00,318.00,636.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,10,1020.00,1020.00,1450.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,12,2010.00,1380.00,3360.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,14,11300.00,5580.00,15800.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,20,262000.00,152000.00,365000.00,Morris_2011_5
MIT9313,MIT9313,P,EZ55,Low,32,89200000.00,81300000.00,115000000.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,0,283.00,35.00,35.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,1,283.00,212.00,317.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,3,106.00,141.00,424.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,6,389.00,459.00,636.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,8,318.00,318.00,283.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,10,1020.00,1020.00,1310.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,12,1240.00,1340.00,1020.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,14,1440.00,2460.00,2370.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,20,2680.00,26500.00,15200.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,23,4420.00,152000.00,84300.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,32,111000000.00,83000000.00,3130000.00,Morris_2011_5
UH18301,UH18301,P,Axenic,High,35,NAN,NAN,13900000.00,Morris_2011_5
UH18301,UH18301,P,Axenic,Low,0,71.00,71.00,35.00,Morris_2011_5
UH18301,UH18301,P,Axenic,Low,1,177.00,283.00,283.00,Morris_2011_5
UH18301,UH18301,P,Axenic,Low,3,742.00,212.00,1030.00,Morris_2011_5
