Latitude,Depth,HOOH,OriSource
-36.165567,6,55.31,Morris_2011_2a
-36.165567,25,28.16,Morris_2011_2a
-36.165567,50,0.69,Morris_2011_2a
-36.165567,58,0.02,Morris_2011_2a
-36.165567,75,0.61,Morris_2011_2a
-36.165567,100,-7.23,Morris_2011_2a
-36.165567,115,-8.57,Morris_2011_2a
-36.165567,135,-7.88,Morris_2011_2a
-36.165567,151,-7.69,Morris_2011_2a
-36.165567,200,-7.49,Morris_2011_2a
-36.165567,300,-7.53,Morris_2011_2a
-34.2348,5,70.42,Morris_2011_2a
-34.2348,25,46.81,Morris_2011_2a
-34.2348,50,20,Morris_2011_2a
-34.2348,70,14.69,Morris_2011_2a
-34.2348,75,12.41,Morris_2011_2a
-34.2348,100,7.1,Morris_2011_2a
-34.2348,115,4.92,Morris_2011_2a
-34.2348,135,2.52,Morris_2011_2a
-34.2348,150,2.46,Morris_2011_2a
-34.2348,200,0.77,Morris_2011_2a
-34.2348,301,-0.14,Morris_2011_2a
-34.2348,500,-2.5,Morris_2011_2a
-34.157967,5,62.8,Morris_2011_2a
-34.157967,25,32.69,Morris_2011_2a
-34.157967,50,13.78,Morris_2011_2a
-34.157967,55,8.79,Morris_2011_2a
-34.157967,75,1.61,Morris_2011_2a
-34.157967,100,1.51,Morris_2011_2a
-34.157967,115,1.4,Morris_2011_2a
-34.157967,135,-0.37,Morris_2011_2a
-34.157967,150,0.34,Morris_2011_2a
-34.157967,200,-1.5,Morris_2011_2a
-34.157967,300,-1.52,Morris_2011_2a
-34.157967,500,-0.72,Morris_2011_2a
-31.921967,7,86.07,Morris_2011_2a
-31.921967,25,49.66,Morris_2011_2a
-31.921967,49,23.37,Morris_2011_2a
-31.921967,65,15.82,Morris_2011_2a
-31.921967,75,10.3,Morris_2011_2a
-31.921967,100,7.71,Morris_2011_2a
-31.921967,115,7.86,Morris_2011_2a
-31.921967,135,4.73,Morris_2011_2a
-31.921967,150,2.41,Morris_2011_2a
-31.921967,200,2.74,Morris_2011_2a
-31.921967,300,0.87,Morris_2011_2a
-31.921967,500,4.5,Morris_2011_2a
-29.040483,8,81.4,Morris_2011_2a
-29.040483,25,53.75,Morris_2011_2a
-29.040483,50,41.95,Morris_2011_2a
-29.040483,75,21.89,Morris_2011_2a
-29.040483,100,15.65,Morris_2011_2a
-29.040483,108,7.09,Morris_2011_2a
-29.040483,114,6.66,Morris_2011_2a
-29.040483,135,-1.92,Morris_2011_2a
-29.040483,150,1.69,Morris_2011_2a
-29.040483,200,-0.59,Morris_2011_2a
-29.040483,300,-0.76,Morris_2011_2a
-29.040483,500,1.5,Morris_2011_2a
-25.6717,5,74.73,Morris_2011_2a
-25.6717,25,74.05,Morris_2011_2a
-25.6717,50,41.52,Morris_2011_2a
-25.6717,75,36.24,Morris_2011_2a
-25.6717,100,16.29,Morris_2011_2a
-25.6717,110,13.66,Morris_2011_2a
-25.6717,115,10.12,Morris_2011_2a
-25.6717,135,8.41,Morris_2011_2a
-25.6717,150,5.77,Morris_2011_2a
-25.6717,200,2.11,Morris_2011_2a
-25.6717,300,6.1,Morris_2011_2a
-25.6717,500,-0.34,Morris_2011_2a
-21.623667,8,138.32,Morris_2011_2a
-21.623667,25,152.84,Morris_2011_2a
-21.623667,50,85.01,Morris_2011_2a
-21.623667,74,50.21,Morris_2011_2a
-21.623667,100,38.58,Morris_2011_2a
-21.623667,115,27.43,Morris_2011_2a
-21.623667,130,22.22,Morris_2011_2a
-21.623667,135,21.71,Morris_2011_2a
-21.623667,150,10.2,Morris_2011_2a
-21.623667,200,4.65,Morris_2011_2a
-21.623667,300,-1.3,Morris_2011_2a
-21.623667,500,-5.81,Morris_2011_2a
-12.575783,9,94.73,Morris_2011_2a
-12.575783,25,59.33,Morris_2011_2a
-12.575783,50,34.24,Morris_2011_2a
-12.575783,74,22.76,Morris_2011_2a
-12.575783,95,13.21,Morris_2011_2a
-12.575783,100,7,Morris_2011_2a
-12.575783,115,5.17,Morris_2011_2a
-12.575783,135,8.41,Morris_2011_2a
-12.575783,150,2.76,Morris_2011_2a
-12.575783,200,5.78,Morris_2011_2a
-12.575783,300,0.05,Morris_2011_2a
-12.575783,500,8.23,Morris_2011_2a
-9.250283,9,50.12,Morris_2011_2a
-9.250283,25,40.69,Morris_2011_2a
-9.250283,49,26.93,Morris_2011_2a
-9.250283,70,12.03,Morris_2011_2a
-9.250283,75,15.45,Morris_2011_2a
-9.250283,100,4.76,Morris_2011_2a
-9.250283,115,3.94,Morris_2011_2a
-9.250283,135,-0.67,Morris_2011_2a
-9.250283,150,1.13,Morris_2011_2a
-9.250283,200,-0.11,Morris_2011_2a
-9.250283,299,-0.38,Morris_2011_2a
-9.250283,500,-3.28,Morris_2011_2a
-4.72075,8,104.6,Morris_2011_2a
-4.72075,25,117.98,Morris_2011_2a
-4.72075,50,78.01,Morris_2011_2a
-4.72075,75,53.17,Morris_2011_2a
-4.72075,99,27.3,Morris_2011_2a
-4.72075,115,24.32,Morris_2011_2a
-4.72075,135,22.57,Morris_2011_2a
-4.72075,149,10.94,Morris_2011_2a
-4.72075,200,2.09,Morris_2011_2a
-4.72075,298,3.48,Morris_2011_2a
-4.72075,500,0.3,Morris_2011_2a
-2.3007,9,114.28,Morris_2011_2a
-2.3007,25,67.76,Morris_2011_2a
-2.3007,50,84.5,Morris_2011_2a
-2.3007,76,46.54,Morris_2011_2a
-2.3007,94,47.49,Morris_2011_2a
-2.3007,100,29.05,Morris_2011_2a
-2.3007,115,23.21,Morris_2011_2a
-2.3007,136,-2.76,Morris_2011_2a
-2.3007,150,-0.94,Morris_2011_2a
-2.3007,200,-9.31,Morris_2011_2a
-2.3007,300,-4.48,Morris_2011_2a
-2.3007,502,8.2,Morris_2011_2a
5.649383,8,89.42,Morris_2011_2a
5.649383,25,79.04,Morris_2011_2a
5.649383,48,94.71,Morris_2011_2a
5.649383,75,82.36,Morris_2011_2a
5.649383,100,66.93,Morris_2011_2a
5.649383,115,27.23,Morris_2011_2a
5.649383,119,36.67,Morris_2011_2a
5.649383,135,12.74,Morris_2011_2a
5.649383,150,2.34,Morris_2011_2a
5.649383,200,3.94,Morris_2011_2a
5.649383,300,-10.13,Morris_2011_2a
5.649383,500,2.02,Morris_2011_2a
7.938883,5,72.77,Morris_2011_2a
7.938883,24,90,Morris_2011_2a
7.938883,48,80.04,Morris_2011_2a
7.938883,75,64.07,Morris_2011_2a
7.938883,100,23.56,Morris_2011_2a
7.938883,115,15.45,Morris_2011_2a
7.938883,135,9.96,Morris_2011_2a
7.938883,150,3.86,Morris_2011_2a
7.938883,200,-4.72,Morris_2011_2a
7.938883,300,-4.38,Morris_2011_2a
7.938883,501,-2.63,Morris_2011_2a
10.08115,11,57.33,Morris_2011_2a
10.08115,25,61.88,Morris_2011_2a
10.08115,50,65.85,Morris_2011_2a
10.08115,75,40.3,Morris_2011_2a
10.08115,100,14.96,Morris_2011_2a
10.08115,110,11.32,Morris_2011_2a
10.08115,115,10.99,Morris_2011_2a
10.08115,135,6.14,Morris_2011_2a
10.08115,150,2.72,Morris_2011_2a
10.08115,200,1.35,Morris_2011_2a
10.08115,300,-3.02,Morris_2011_2a
10.08115,500,-5.43,Morris_2011_2a
12.4745,8,80.8,Morris_2011_2a
12.4745,25,69.25,Morris_2011_2a
12.4745,50,61.5,Morris_2011_2a
12.4745,75,75.59,Morris_2011_2a
12.4745,100,34.4,Morris_2011_2a
12.4745,114,10.87,Morris_2011_2a
12.4745,119,11.33,Morris_2011_2a
12.4745,135,7.26,Morris_2011_2a
12.4745,150,4.66,Morris_2011_2a
